"","hero","division","pick_rate","rank"
"1","Mercy","bronze_pick_rate",0.0958,1
"2","Reinhardt","bronze_pick_rate",0.088,2
"3","Ana","bronze_pick_rate",0.075,3
"4","Moira","bronze_pick_rate",0.0643,4
"5","Zarya","bronze_pick_rate",0.0549,5
"6","Junkrat","bronze_pick_rate",0.0524,6
"7","McCree","bronze_pick_rate",0.0471,7
"8","Lucio","bronze_pick_rate",0.0418,8
"9","Soldier:76","bronze_pick_rate",0.0375,9
"10","D.V.A","bronze_pick_rate",0.0372,10
"11","Sigma","bronze_pick_rate",0.0329,11
"12","Baptiste","bronze_pick_rate",0.0322,12
"13","Hanzo","bronze_pick_rate",0.0269,13
"14","Reaper","bronze_pick_rate",0.0261,14
"15","Zenyatta","bronze_pick_rate",0.0261,15
"16","Ashe","bronze_pick_rate",0.0243,16
"17","Orisa","bronze_pick_rate",0.0239,17
"18","Roadhog","bronze_pick_rate",0.0236,18
"19","Genji","bronze_pick_rate",0.0206,19
"20","Wrecking Ball","bronze_pick_rate",0.0181,20
"21","Torbjorn","bronze_pick_rate",0.018,21
"22","Pharah","bronze_pick_rate",0.0175,22
"23","Echo","bronze_pick_rate",0.0167,23
"24","Winston","bronze_pick_rate",0.0159,24
"25","Symmetra","bronze_pick_rate",0.0143,25
"26","Tracer","bronze_pick_rate",0.0129,26
"27","Brigitte","bronze_pick_rate",0.0115,27
"28","Doomfist","bronze_pick_rate",0.0105,28
"29","Mei","bronze_pick_rate",0.01,29
"30","Bastion","bronze_pick_rate",0.0089,30
"31","Widowmaker","bronze_pick_rate",0.0081,31
"32","Sombra","bronze_pick_rate",0.007,32
"33","Wrecking Ball","grandmaster_pick_rate",0.0998,1
"34","Zenyatta","grandmaster_pick_rate",0.0941,2
"35","Zarya","grandmaster_pick_rate",0.0829,3
"36","Mercy","grandmaster_pick_rate",0.0649,4
"37","Reinhardt","grandmaster_pick_rate",0.062,5
"38","McCree","grandmaster_pick_rate",0.061,6
"39","Sigma","grandmaster_pick_rate",0.0599,7
"40","Baptiste","grandmaster_pick_rate",0.0565,8
"41","Tracer","grandmaster_pick_rate",0.0523,9
"42","Lucio","grandmaster_pick_rate",0.0434,10
"43","Ana","grandmaster_pick_rate",0.0419,11
"44","Roadhog","grandmaster_pick_rate",0.0373,12
"45","Brigitte","grandmaster_pick_rate",0.0349,13
"46","Ashe","grandmaster_pick_rate",0.0286,14
"47","Hanzo","grandmaster_pick_rate",0.0249,15
"48","Echo","grandmaster_pick_rate",0.0214,16
"49","D.V.A","grandmaster_pick_rate",0.0196,17
"50","Widowmaker","grandmaster_pick_rate",0.019,18
"51","Winston","grandmaster_pick_rate",0.0182,19
"52","Doomfist","grandmaster_pick_rate",0.0108,20
"53","Soldier:76","grandmaster_pick_rate",0.009,21
"54","Orisa","grandmaster_pick_rate",0.0082,22
"55","Genji","grandmaster_pick_rate",0.0079,23
"56","Junkrat","grandmaster_pick_rate",0.0071,24
"57","Torbjorn","grandmaster_pick_rate",0.007,25
"58","Mei","grandmaster_pick_rate",0.006,26
"59","Pharah","grandmaster_pick_rate",0.0056,27
"60","Symmetra","grandmaster_pick_rate",0.0046,28
"61","Moira","grandmaster_pick_rate",0.0044,29
"62","Sombra","grandmaster_pick_rate",0.0027,30
"63","Reaper","grandmaster_pick_rate",0.0024,31
"64","Bastion","grandmaster_pick_rate",0.002,32
