hero,bronze_pick_rate,bronze_win_rate,bronze_tie_rate,bronze_on_fire,silver_pick_rate,silver_win_rate,silver_tie_rate,silver_on_fire,gold_pick_rate,gold_win_rate,gold_tie_rate,gold_on_fire,platinum_pick_rate,platinum_win_rate,platinum_tie_rate,platinum_on_fire,diamond_pick_rate,diamond_win_rate,diamond_tie_rate,diamond_on_fire,master_pick_rate,master_win_rate,master_tie_rate,master_on_fire,grandmaster_pick_rate,grandmaster_win_rate,grandmaster_tie_rate,grandmaster_on_fire
ana,7.50%,47.06%,2.03%,7.66%,9.48%,49.11%,2.03%,8.52%,11.71%,50.22%,2.05%,9.51%,12.96%,51.51%,2.04%,10.25%,12.63%,53.03%,1.97%,10.04%,9.84%,52.85%,1.93%,8.95%,4.19%,54.65%,1.82%,8.94%
ashe,2.43%,47.18%,1.67%,6.12%,2.54%,49.47%,1.80%,6.36%,2.56%,50.63%,1.81%,6.92%,2.52%,52.20%,1.94%,7.54%,2.38%,52.89%,1.89%,7.58%,2.25%,51.92%,2.07%,7.50%,2.86%,54.58%,1.92%,8.17%
baptiste,3.22%,46.43%,2.34%,9.77%,3.52%,47.76%,2.23%,10.51%,3.54%,48.37%,2.29%,11.58%,3.60%,49.81%,2.32%,12.76%,3.70%,50.96%,2.17%,13.09%,4.96%,50.88%,2.07%,13.71%,5.65%,54.38%,2.01%,17.22%
bastion,0.89%,48.79%,2.84%,15.85%,0.57%,52.04%,2.18%,15.45%,0.31%,53.22%,1.91%,14.24%,0.20%,55.80%,1.77%,13.13%,0.16%,53.73%,1.72%,10.01%,0.13%,51.80%,1.54%,8.12%,0.20%,51.85%,2.20%,6.67%
brigitte,1.15%,50.22%,1.67%,6.59%,1.01%,49.94%,1.44%,6.13%,0.86%,49.67%,1.38%,5.58%,0.86%,49.38%,1.28%,4.59%,1.23%,49.16%,1.32%,3.41%,2.17%,48.15%,1.56%,2.70%,3.49%,53.05%,1.76%,2.42%
d.v.a,3.72%,46.40%,2.06%,6.41%,2.30%,48.84%,1.95%,6.74%,1.64%,49.40%,1.66%,6.94%,1.23%,50.51%,1.62%,6.70%,1.12%,52.36%,1.40%,6.21%,1.09%,51.70%,1.38%,4.92%,1.96%,52.76%,1.73%,4.91%
doomfist,1.05%,48.43%,1.24%,7.26%,1.07%,51.18%,1.36%,7.17%,1.20%,52.96%,1.41%,7.15%,1.26%,53.51%,1.44%,7.03%,1.28%,54.92%,1.64%,6.52%,1.18%,54.16%,1.69%,5.60%,1.08%,55.77%,1.62%,5.23%
echo,1.67%,47.04%,1.96%,6.83%,1.40%,48.21%,1.83%,7.18%,1.39%,49.48%,1.84%,7.49%,1.37%,50.64%,1.95%,7.71%,1.51%,52.08%,1.74%,7.76%,1.78%,52.37%,1.82%,8.05%,2.14%,54.89%,1.97%,8.68%
genji,2.06%,47.06%,1.76%,8.93%,2.19%,48.47%,1.69%,9.64%,2.90%,49.75%,1.70%,10.80%,3.61%,50.97%,1.74%,11.88%,3.40%,53.07%,1.73%,11.93%,2.08%,53.25%,1.74%,11.14%,0.79%,55.22%,2.01%,11.34%
hanzo,2.69%,47.30%,1.92%,10.07%,3.01%,48.59%,1.83%,10.24%,3.15%,49.24%,1.86%,11.07%,3.36%,50.54%,1.96%,11.50%,3.49%,51.09%,1.97%,11.14%,2.94%,50.82%,1.91%,9.73%,2.49%,52.32%,1.54%,9.48%
junkrat,5.24%,47.81%,2.11%,11.88%,4.46%,49.63%,2.37%,11.08%,2.84%,51.87%,2.46%,10.79%,1.57%,54.38%,2.35%,10.05%,0.86%,55.56%,2.21%,8.66%,0.59%,56.34%,1.82%,7.24%,0.71%,54.83%,1.91%,6.61%
l£cio,4.18%,50.16%,1.95%,10.37%,3.52%,51.95%,1.78%,10.95%,3.08%,52.48%,1.66%,10.94%,2.91%,52.91%,1.60%,11.07%,2.89%,53.83%,1.66%,10.75%,3.52%,53.06%,1.86%,10.65%,4.34%,55.27%,2.03%,12.05%
mcCree,4.71%,47.31%,1.67%,8.82%,5.62%,47.78%,1.58%,8.53%,6.46%,48.74%,1.64%,8.73%,7.09%,49.39%,1.69%,9.01%,7.65%,50.35%,1.72%,8.64%,7.11%,50.21%,1.65%,7.50%,6.10%,52.67%,1.60%,7.21%
mei,1.00%,44.79%,1.69%,9.18%,0.90%,48.46%,1.81%,8.31%,0.65%,49.36%,2.07%,7.87%,0.45%,50.23%,1.92%,6.97%,0.37%,51.91%,2.05%,6.67%,0.38%,51.32%,2.01%,4.80%,0.60%,55.50%,1.76%,5.16%
mercy,9.58%,48.17%,2.24%,1.69%,9.37%,50.02%,2.23%,1.99%,9.10%,51.33%,2.16%,2.29%,7.82%,52.26%,2.13%,2.54%,6.73%,53.12%,1.94%,2.40%,6.99%,51.77%,1.93%,1.89%,6.49%,53.57%,1.90%,1.66%
moira,6.43%,46.87%,2.12%,5.94%,5.99%,47.81%,2.12%,5.79%,4.51%,47.89%,2.12%,6.09%,2.59%,47.53%,1.96%,6.12%,1.23%,48.23%,1.66%,5.96%,0.56%,47.40%,1.63%,6.28%,0.44%,51.40%,2.16%,5.89%
orisa,2.39%,46.19%,2.36%,5.45%,1.12%,47.09%,2.05%,6.08%,0.60%,47.44%,1.67%,6.51%,0.37%,48.27%,1.45%,6.74%,0.34%,49.85%,1.48%,6.79%,0.53%,48.68%,1.88%,6.41%,0.82%,52.34%,2.32%,7.00%
pharah,1.75%,47.69%,1.71%,11.04%,1.85%,50.89%,1.68%,12.36%,1.56%,52.87%,1.71%,13.57%,1.18%,54.17%,1.71%,14.38%,0.97%,55.85%,1.75%,14.04%,0.95%,55.98%,1.47%,12.63%,0.56%,55.07%,1.93%,14.80%
reaper,2.61%,47.16%,1.61%,13.69%,2.27%,47.89%,1.67%,13.01%,1.61%,49.30%,1.53%,12.65%,0.93%,50.23%,1.51%,12.26%,0.48%,50.98%,1.55%,10.96%,0.33%,52.07%,1.87%,9.30%,0.24%,54.26%,1.44%,9.50%
reinhardt,8.80%,50.27%,2.06%,9.21%,10.27%,51.72%,2.25%,9.15%,11.00%,52.53%,2.25%,9.04%,11.64%,53.65%,2.32%,8.93%,10.32%,55.31%,2.16%,8.27%,7.78%,55.60%,2.12%,7.25%,6.20%,56.34%,1.83%,7.10%
roadhog,2.36%,43.39%,1.61%,6.19%,2.46%,45.69%,1.49%,6.82%,2.97%,46.46%,1.48%,7.45%,3.48%,47.27%,1.40%,7.88%,4.15%,48.33%,1.41%,7.56%,4.65%,48.51%,1.60%,6.32%,3.73%,51.82%,1.70%,6.27%
sigma,3.29%,47.94%,2.07%,10.55%,2.97%,48.63%,2.18%,11.31%,2.75%,48.96%,1.96%,11.80%,2.89%,49.60%,1.86%,12.05%,3.42%,49.97%,1.85%,11.26%,4.68%,50.31%,1.92%,9.76%,5.99%,54.06%,1.85%,10.09%
soldier: 76,3.75%,46.01%,1.93%,9.49%,3.81%,47.55%,1.88%,9.25%,3.35%,49.26%,1.85%,9.31%,2.84%,51.13%,1.86%,9.40%,2.40%,52.64%,1.71%,8.89%,1.74%,52.39%,1.88%,7.64%,0.90%,55.12%,1.27%,7.62%
sombra,0.70%,41.09%,1.39%,10.67%,0.68%,44.80%,1.64%,11.28%,0.62%,45.88%,1.48%,11.78%,0.57%,48.21%,1.51%,11.52%,0.42%,49.49%,1.74%,10.97%,0.32%,52.04%,1.45%,10.04%,0.27%,51.78%,0.94%,9.35%
symmetra,1.43%,56.59%,2.78%,9.00%,1.08%,58.92%,2.71%,9.27%,0.82%,59.40%,2.50%,9.14%,0.61%,59.34%,2.40%,8.64%,0.43%,59.44%,1.85%,8.06%,0.46%,56.20%,1.85%,5.94%,0.46%,54.78%,1.60%,3.93%
torbj”rn,1.80%,55.01%,2.66%,8.93%,1.41%,56.71%,2.50%,7.98%,1.03%,57.14%,2.45%,7.37%,0.84%,56.94%,2.21%,6.42%,0.80%,54.70%,2.13%,5.39%,0.85%,53.80%,2.33%,4.65%,0.70%,53.14%,2.05%,4.02%
tracer,1.29%,44.96%,1.19%,6.15%,1.34%,47.79%,1.46%,6.02%,1.53%,48.15%,1.28%,6.21%,2.06%,49.47%,1.40%,6.12%,3.03%,50.87%,1.36%,5.81%,4.13%,50.91%,1.43%,5.42%,5.23%,54.06%,1.49%,5.61%
widowmaker,0.81%,44.32%,1.42%,5.17%,0.78%,47.56%,1.14%,5.23%,0.97%,48.34%,1.22%,5.85%,1.32%,49.61%,1.40%,6.52%,1.87%,50.97%,1.49%,6.35%,1.91%,50.43%,1.45%,5.69%,1.90%,53.62%,1.27%,5.33%
winston,1.59%,44.40%,1.60%,4.92%,1.44%,45.26%,1.62%,5.38%,1.51%,45.84%,1.38%,5.54%,1.64%,47.62%,1.51%,5.70%,1.85%,50.50%,1.49%,5.54%,2.04%,52.03%,1.62%,4.79%,1.82%,54.45%,2.01%,5.18%
wrecking Ball,1.81%,46.56%,1.63%,2.50%,1.83%,48.06%,1.74%,2.60%,2.30%,49.37%,1.55%,2.63%,3.09%,50.34%,1.53%,2.78%,4.45%,50.86%,1.46%,2.62%,6.39%,50.18%,1.73%,2.27%,9.98%,53.46%,1.82%,2.25%
zarya,5.49%,49.34%,1.95%,8.41%,7.29%,51.21%,2.09%,9.40%,8.62%,52.04%,2.11%,10.69%,9.57%,53.43%,2.19%,12.07%,9.62%,54.63%,1.99%,12.34%,8.52%,54.26%,2.00%,11.20%,8.29%,55.96%,1.78%,11.04%
zenyatta,2.61%,51.28%,1.78%,8.31%,2.47%,52.23%,1.80%,8.44%,2.88%,53.33%,1.67%,7.90%,3.60%,54.33%,1.73%,7.13%,4.80%,54.50%,1.64%,5.91%,7.16%,52.60%,1.72%,4.64%,9.41%,54.87%,1.77%,4.92%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
